temperature,humidity,light,motion,label
29.192741800248157,51.90369504614945,68,1,normal
25.02930697528156,65.23483036795713,675,0,normal
21.477017434965216,53.611797700592305,183,0,normal
29.15251186953103,42.98343319601081,581,1,normal
23.281829924875215,55.29057151678121,667,0,normal
19.691090699697153,36.2096098372285,505,1,normal
25.440873071142164,54.43923955403967,178,1,normal
25.380086720390036,64.94708456745354,169,1,normal
19.840216837392962,57.69744605297478,499,1,normal
28.423189538273522,49.19755338868494,672,1,normal
29.879522788679342,45.952911235876016,146,0,normal
27.040538223107298,31.301047179650077,647,0,normal
21.868246139696677,53.206894769093296,603,1,normal
24.385361823183786,56.67457030184417,494,1,normal
19.929696617009984,49.576998545725615,232,0,normal
28.226178003822483,53.14701634289574,759,0,normal
27.871206727915897,54.309471795154366,457,0,normal
27.626363769048474,37.27712521981084,792,1,normal
19.002008600384023,54.66601258082952,651,1,normal
18.676505959811124,56.34831102003504,450,1,normal
18.620180654023294,32.313707062535855,415,1,normal
24.037635102961055,58.334519068601395,571,0,normal
18.18547939834641,65.43910992944748,673,1,normal
25.795594788566575,66.61953190352168,699,0,normal
19.00928167337997,56.066673015035406,273,1,normal
24.39140719746028,42.31719766364763,227,0,normal
22.717172696001125,63.78197594140281,742,1,normal
24.66518046723153,69.85335664226967,448,1,normal
24.48762145932128,65.35143539853703,700,1,normal
21.46356663888307,54.779613840384584,653,0,normal
27.774896642776586,54.41335133243673,259,0,normal
28.03176144614647,53.71759739366813,401,0,normal
20.261775100937363,96.1003188027904,11,0,anomaly
18.981108383386463,32.28347424357259,197,0,normal
26.669425383138062,57.85155103512559,444,1,normal
20.512191880040525,50.289392347535696,362,0,normal
24.64625141281585,69.46650373068586,251,1,normal
28.794894879294823,49.34182586879699,569,1,normal
26.711468146442872,66.69254301848972,677,0,normal
25.29053822281726,38.98419291759928,711,0,normal
43.63400766857002,93.67603761373904,22,0,anomaly
22.301588742531273,31.08383970013934,798,1,normal
26.436227506742135,66.57195226241996,531,0,normal
18.060739006154623,39.986720354367435,559,0,normal
21.616534489969705,34.275076923789754,89,1,normal
24.195604179614342,45.84968075610635,440,1,normal
23.68753968315447,63.15533463530438,254,1,normal
23.550416593597774,30.197599237376384,630,0,normal
24.8386762184558,46.94953014595051,555,0,normal
28.521187641140994,33.82141255338673,620,0,normal
22.3963421195243,45.92674774363773,221,0,normal
24.018195536246395,47.110925349434496,249,0,normal
24.401533103715856,46.44113879226819,624,0,normal
18.56603441641309,30.293867773099077,923,0,anomaly
28.805016685959966,40.8858054891985,280,1,normal
19.834309670211983,31.92848155442224,115,1,normal
28.93112621392611,58.56347728529711,158,1,normal
21.94397454443899,57.21997208298852,157,1,normal
28.864207703472765,50.29870935043345,271,0,normal
18.962804947939706,65.14062245205392,637,0,normal
27.68928186196875,64.73871903591652,515,0,normal
19.71590018463403,65.76396814716537,564,0,normal
25.9823666483544,58.64602696892774,603,1,normal
16.337963383639856,40.61875356824188,983,0,anomaly
24.622882065293826,47.54461676758362,612,0,normal
27.094153325572428,49.835029403150834,666,1,normal
19.417977931459873,68.51968015435978,696,0,normal
23.98130638714869,57.329921131585834,92,0,normal
26.889223413050452,59.50329206355566,621,1,normal
26.30274237231232,69.50672031986588,623,1,normal
26.75527414005677,56.10984431407499,715,1,normal
28.72671099661149,63.59445211466881,158,1,normal
22.28103992032307,47.63050987752912,198,1,normal
28.386085510727764,47.42333259251732,292,1,normal
21.322531777766443,34.88439656040107,475,1,normal
24.54740147179122,59.74033025166431,735,1,normal
24.51235299789898,52.38561325232872,455,1,normal
28.813896125891866,50.70846573538846,565,0,normal
25.53069696100876,30.390833896767347,168,1,normal
26.364188891943215,39.55108583073209,609,1,normal
15.557561061606382,39.85729168894893,989,0,anomaly
28.680064101810796,61.453800576622086,465,0,normal
29.661384992651527,53.06065902057014,586,1,normal
22.240226736312636,38.0060097697924,585,0,normal
24.27279395258393,41.725909210440534,150,0,normal
19.54991298181794,31.226100088232243,186,0,normal
20.218253466306326,53.81540069280175,705,0,normal
-1.3976608119957215,34.07714183268662,430,0,anomaly
35.06088748239839,82.89426219982617,19,1,anomaly
24.974858657071348,48.5397617520229,430,0,normal
19.40480419713127,46.37336025260172,310,0,normal
19.043043457049084,49.8869905603371,730,0,normal
15.290459760401749,38.272853498372704,1087,0,anomaly
25.490855950967905,55.326055023760894,662,0,normal
29.38662644704,37.05547946024893,502,1,normal
20.0462894842475,48.09758064530774,491,1,normal
22.709341289071624,37.24597398138721,435,1,normal
23.6900859490479,49.22346309306592,198,0,normal
23.4990346858982,43.40475417036568,484,1,normal
27.25524416023135,58.6388891538959,712,0,normal
20.05065104868079,51.77956391843398,440,0,normal
27.96743289345275,55.898988566184116,553,0,normal
29.847313551779333,33.26519928122358,162,1,normal
18.06626540548323,55.75998172956063,787,1,normal
18.888535820809086,56.356957676406054,163,0,normal
26.971312562115013,52.692488785156144,535,1,normal
24.09132454421346,39.090785090526055,262,0,normal
21.044413620025818,94.25053623746683,2,0,anomaly
18.923758917945516,45.18769632669068,511,1,normal
20.908916788980964,32.92783695073774,128,1,normal
21.24998701514489,36.1558362535942,612,0,normal
18.366002999268595,67.70927096540503,670,1,normal
19.213472113473482,31.245363315380455,532,0,normal
20.23880428861567,64.83013801349037,484,1,normal
18.448178264990574,55.985865959694735,484,1,normal
19.16611792524922,55.1002185287348,66,1,normal
18.489301698657165,52.656185611875884,105,1,normal
18.87315607637032,64.57432999358548,522,1,normal
25.70903133847579,60.10866558230565,537,0,normal
23.587176217589523,54.53645556842831,554,0,normal
21.86494998699814,33.75602863157673,647,0,normal
